<?xml version="1.0" encoding="UTF-8"?>Abendpfauenauge,,
Abendvogel,,
Abessinier,,
Abgottsschlange,,
Abiponer,,
Achat,http://www.wikidata.org/entity/Q123314 http://www.wikidata.org/entity/Q123314,
Achatkugel,,
Achillessehne,http://www.wikidata.org/entity/Q223172,
Ackermännchen,,
Ackerwerbel,,
Adler,http://www.wikidata.org/entity/Q358107,
Adlerstein,,
Adular,http://www.wikidata.org/entity/Q430034,
Aegerste,,
Aegypten-Kiesel,,
Aegyptenkiesel,,
Aegyptier,,
Aegyptische+Mumie,,
Aehrenstein,,
Aelster,,
Aelstern,,
Aente,,
Aentemuschel,,
Aenten,,
Aentenmuschel,,
Aentestößer,,
Aërolith,,
Aesche,,
Aeser,,
Aethiopier,,
Aethiopierin,,
Aëties,,
Aetit,,
Affe,,
africanische+Waldmensch,,
Afrikaner,,
Afterholzbock,,
Afterjungfer,,
Afterpolype,,
Afterpolypen,,
Agami,,
Agtstein,,
ägyptische+Mumie,,
ägyptischen+Mumie,,
ägyptischen+Mumien,,
Alabaster,http://www.wikidata.org/entity/Q143447,
Alander,,
Alaun,http://www.wikidata.org/entity/Q190527 http://www.wikidata.org/entity/Q190527,
Alaun-Erde,,
Alaun-Erzen,,
Alaun-Schiefer,,
Alaun-Stein,,
Alaun-Thon,,
Alaunerde,,
Alaunschiefer,http://www.wikidata.org/entity/Q1358009,
Alaunstein,http://www.wikidata.org/entity/Q338106,
Albarassados,,
Albatros,http://www.wikidata.org/entity/Q1338782,
Alberknospen,,
Alcyonit,,
Aleuten,,
Alligator,,
Alpenforelle,,
Alvinos,,
Amaru+Schlange,,
Amaru-Schlange,,
Amazonenstein,http://www.wikidata.org/entity/Q429786,
Amazonit,http://www.wikidata.org/entity/Q429786,
Amboinese,,
Ambra,,
Ameise,,
Ameisen-Bär,,
Ameisen-Löwe,,
Ameisenbär,,
Ameisenfresser,,
Ameisenlöwe,,
Ameisenlöwen,,
Amenorrhöe,,
Americaner,,
americanische+Löwe,,
americanische+Nachtigal,,
americanische+Rasse,,
americanischer+Löwe,,
americanischer+Tiger,,
Amerikaner,http://www.wikidata.org/entity/Q338242,
amerikanische+Rasse,,
Amethyst,http://www.wikidata.org/entity/Q79058,
Amianth,,
Ammer,,
Ammon,,
Ammoniak,,
Ammonshorn,,
Ammonshörner,,
Amseln,,
Anaconda,,
Androdamas,,
Angmarsete,,
Ani,,
Anschovis,,
Anthropolithen,,
Anthropologie,http://www.wikidata.org/entity/Q23404,
Antimonium,,
Anu-Plame,,
Apatit,http://www.wikidata.org/entity/Q178397 http://www.wikidata.org/entity/Q178397,
Aphrodite,,
Aquamarin,http://www.wikidata.org/entity/Q58959,
Araber,http://www.wikidata.org/entity/Q35323,
Aras,,
Arche,,
Arekpalme,,
Arendalit,,
Arm-Polype,,
Arm-Polypen,,
Armadill,,
Armadillen,,
Armenier,,
Armpolype,,
Armpolypen,,
Arragonit,,
Arsenik,,
Arsenik+Kies,,
Arsenik-Silber,,
Arsenikgeschlecht,,
Arsenikkies,,
Arterien,,
Artsche,,
Asbest,http://www.wikidata.org/entity/Q104085,
Asellische+Gekrösedrüse,,
Ashkoko,,
Asiaten,,
Asiatischer+Elephant,,
Asphalt,http://www.wikidata.org/entity/Q202251,
Ass,,
Assel,,
Aßel,,
Astroit,,
