<?xml version="1.0" encoding="UTF-8"?>
Abendpfauenauge,,
Abendvogel,,
Abessinier,,
Abgottsschlange,,
Abiponer,,
Achat,,
Achatkugel,,
Achillessehne,,
Ackermännchen,,
Ackerwerbel,,
Adler,,
Adlerstein,,
Admiral,http://www.wikidata.org/entity/Q156454,Vanessa atalanta
Adular,,
Aegerste,,
Aegypten-Kiesel,,
Aegyptenkiesel,,
Aegyptier,,
Aegyptische+Mumie,,
Aehrenstein,,
Aelster,,
Aelstern,,
Aente,,
Aentemuschel,,
Aenten,,
Aentenmuschel,,
Aentestößer,,
Aërolith,,
Aesche,,
Aeser,,
Aethiopier,,
Aethiopierin,,
Aëties,,
Aetit,,
Affe,,
Affen,http://www.wikidata.org/entity/Q5452918,Simiiformes
africanische+Waldmensch,,
Afrikaner,,
Afterholzbock,,
Afterjungfer,,
Afterpolype,,
Afterpolypen,,
Agami,,
Agtstein,,
Aguti,http://www.wikidata.org/entity/Q193966,Dasyprocta
ägyptische+Mumie,,
ägyptischen+Mumie,,
ägyptischen+Mumien,,
Alabaster,,
Alander,,
Alaun,,
Alaun-Erde,,
Alaun-Erzen,,
Alaun-Schiefer,,
Alaun-Stein,,
Alaun-Thon,,
Alaunerde,,
Alaunschiefer,,
Alaunstein,,
Albarassados,,
Albatros,,
Alberknospen,,
Alcyonit,,
Aleuten,,
Alligator,,
Alpenforelle,,
Alse,http://www.wikidata.org/entity/Q300997,Alosa alosa
Alvinos,,
Amaru+Schlange,,
Amaru-Schlange,,
Amazonenstein,,
Amazonit,,
Amboinese,,
Ambra,,
Ameise,,
Ameisen-Bär,,
Ameisen-Löwe,,
Ameisenbär,,
Ameisenbären,http://www.wikidata.org/entity/Q972452,Vermilingua
Ameisenfresser,,
Ameisenlöwe,,
Ameisenlöwen,,
Amenorrhöe,,
Americaner,,
americanische+Löwe,,
americanische+Nachtigal,,
americanische+Rasse,,
americanischer+Löwe,,
americanischer+Tiger,,
Amerikaner,,
amerikanische+Rasse,,
Amethyst,,
Amianth,,
Ammer,,
Ammon,,
Ammoniak,,
Ammonshorn,,
Ammonshörner,,
Amphibien,http://www.wikidata.org/entity/Q10908,Amphibia
Amphisbaena,http://www.wikidata.org/entity/Q26187,Amphisbaena
Amphitrite,http://www.wikidata.org/entity/Q5042345,Amphitrite
Amsel,http://www.wikidata.org/entity/Q25234,Turdus merula
Amseln,,
Anaconda,,
Androdamas,,
Angmarsete,,
Ani,,
Anschovis,,
Anser,http://www.wikidata.org/entity/Q183361,Anser
Anthropolithen,,
Anthropologie,,
Antilope,http://www.wikidata.org/entity/Q1416078,Antilope
Antimonium,,
Anu-Plame,,
Apatit,,
Aphrodite,,
Aquamarin,,
Araber,,
Aras,,
Arche,,
Arekpalme,,
Arendalit,,
Argali,http://www.wikidata.org/entity/Q186267,Ovis ammon
Arm-Polype,,
Arm-Polypen,,
Armadill,,
Armadillen,,
Armenier,,
Armfüßer,http://www.wikidata.org/entity/Q178272,Brachiopoda
Armpolype,,
Armpolypen,,
Arragonit,,
Arsenik,,
Arsenik+Kies,,
Arsenik-Silber,,
Arsenikgeschlecht,,
Arsenikkies,,
Arterien,,
Artsche,,
Asbest,,
Asellische+Gekrösedrüse,,
Ashkoko,,
Asiaten,,
Asiatischer+Elephant,,
Asphalt,,
Ass,,
Assel,,
Aßel,,
Astroit,,
Atacamit,,
Atas,,
Atherina,http://www.wikidata.org/entity/Q133469,Atherina
äthiopische+Rasse,,
Atlas,,
Atlas-Erz,,
Atlas-Erzt,,
Atlaserz,,
Atramentstein,,
Attun,,
Atzel,http://www.wikidata.org/entity/Q25307,Pica pica
Auerhahn,http://www.wikidata.org/entity/Q129059,Tetrao urogallus
Aufhängemuskel,,
Augapfel,,
Augenachat,,
Augenbraunenbogen,,
Augendecke,,
Augenhölen,,
Augenhölenrand,,
Augenlied,,
Augenlieder,,
Augenstern,,
Augensternes,,
Augit,,
Auripigment,,
Aurochsen,,
Auroravogel,,
Ausschlagsfieber,,
Auster,http://www.wikidata.org/entity/Q18107596,Auster
Austerdieb,,
Austermann,,
Austern,,
Avanturino,,
Babirussa,,
babylonische+Thurm,,
Bachstelze,http://www.wikidata.org/entity/Q25399,Motacilla alba
Backenknochen,,
Backentaschen,,
Backenzahn,,
Backenzähne,,
Backtrog,,
Badaja,,
Badeschwamm,,
